# !SESSION 2023-12-31 14:27:09.446
# version: 1.1
# verbose: true
# The following option strings are specified for this debug session:
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/debug=true
# 	org.eclipse.core.runtime/perf/success=true
# 	com._1c.g5.v8.dt.compare/debug=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/resource-processing=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/sync/console=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load=true
# 	org.eclipse.core.runtime/debug=true
# 	org.eclipse.core.runtime/perf=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.core/trace=true
# 	org.eclipse.wst.server.core/severe=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/platform=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/process=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud/tunnel/console=true
# 	com._1c.g5.v8.dt.platform.services.core/trace/infobase/load/object-resolve=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/debug=true
# 	com._1c.g5.v8.dt.platform.services.core/preferences/keep-temp-files/fail=true
# 	com.e1c.g5.v8.dt.platform.cloud.wst.core/trace=true
# 	com._1c.g5.v8.dt.platform.services.core/debug=true
# 	com._1c.g5.v8.dt.compare/trace/git-merge=true
# 	com.e1c.g5.v8.dt.platform.standaloneserver.wst.core/trace=true
# 	com.e1c.g5.v8.dt.platform.cloud.core/trace/cloud=true
| ModalContext | 2023-12-31 14:27:09.446 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Executing 1C:Enterprise runtime command: C:\Program Files\1cv8\8.3.22.2283\bin\1cv8.exe CREATEINFOBASE File="D:\Projects\AddIn1C\BTScaner\1C_EDT\InfoBase";Locale="ru_RU";DBMS="MSSQLServer"; /AddInList InfoBase /Out C:\Users\ADMINI~1\AppData\Local\Temp\1cedt\1cv8-14644547436622492012.log |
| main | 2023-12-31 14:27:17.952 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Opening designer session with: file:///C:/Program%20Files/1cv8/8.3.22.2283/bin/ |
| main | 2023-12-31 14:27:17.954 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Designer agent starting: C:\Program Files\1cv8\8.3.22.2283\bin\1cv8.exe DESIGNER /F D:\Projects\AddIn1C\BTScaner\1C_EDT\InfoBase /AgentMode /AgentSSHHostKeyAuto /AgentBaseDir C:\Users\ADMINI~1\AppData\Local\Temp\1cedt\ssh-72379 /AgentPort 59039 /Out C:\Users\ADMINI~1\AppData\Local\Temp\1cedt\1cv8-6108786781741484264.log -NoTruncate |
| main | 2023-12-31 14:27:18.968 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Trying to connect to 1C:Enterprise address ssh://localhost:59039/... |
| main | 2023-12-31 14:27:20.004 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Trying to connect to 1C:Enterprise address ssh://localhost:59039/... |
| main | 2023-12-31 14:27:21.009 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Trying to connect to 1C:Enterprise address ssh://localhost:59039/... |
| main | 2023-12-31 14:27:21.276 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Openning 1C:Enterprise connection with localhost:59039... |
| main | 2023-12-31 14:27:21.305 | com._1c.g5.v8.dt.platform.services.core | /trace/platform | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Trying to get connection directory for agent base direcotory "C:\Users\ADMINI~1\AppData\Local\Temp\1cedt\ssh-72379" and username "".. |
| Worker-9: Экспорт ресурсов проекта: Conf | 2023-12-31 14:27:21.348 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing resource save: L/Conf/src/Configuration/CommandInterface.cmi : [com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@41b9d306] |
| Worker-9: Экспорт ресурсов проекта: Conf | 2023-12-31 14:27:21.349 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Infobase synchronisation descriptor found: type-com._1c.g5.v8.dt.platform.services.core.infobaseConnection.Incremental strategy-com._1c.g5.v8.dt.platform.services.core.synchronizationStrategy.OnDemand |
| Worker-9: Экспорт ресурсов проекта: Conf | 2023-12-31 14:27:21.349 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 199 | Processing object: com._1c.g5.v8.dt.cmi.model.impl.CommandInterfaceImpl@41b9d306 |
